run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
3.16,1,1.15,1.15,True,377,0,2,2
11.18,1,1.3,1.1,True,484,0,5,5
7.12,1,1.25,1.1,True,377,0,1,1
20.1,1,1.35,1.3,False,1411,0,33,33
20.1,1,1.35,1.3,False,1411,0,59,59
20.1,1,1.35,1.3,False,1411,0,33,33
20.1,1,1.35,1.3,False,1411,0,59,59
49.3,1,1.55,1.25,True,668,0,25,25
54.16,1,1.55,1.5,False,1411,0,48,48
22.14,1,1.4,1.1,True,484,0,3,3
1.1,1,1.1,1.1,True,487,0,2,2
1.1,1,1.1,1.1,True,484,0,9,9
1.1,1,1.1,1.1,True,487,0,2,2
1.1,1,1.1,1.1,True,484,0,9,9
8.13,1,1.25,1.15,True,377,0,4,4
7.5,1,1.25,1.1,True,486,0,2,2
39.15,1,1.5,1.2,True,484,0,6,6
25.8,1,1.4,1.25,True,668,0,25,25
36.6,1,1.45,1.45,False,1411,0,63,63
3.1,1,1.15,1.15,True,377,0,5,5
3.1,1,1.15,1.15,True,377,0,1,1
3.1,1,1.15,1.15,True,377,0,5,5
3.1,1,1.15,1.15,True,377,0,1,1
27.16,1,1.4,1.35,False,1411,0,31,31
45.15,1,1.5,1.5,False,1411,0,48,48
35.17,1,1.45,1.4,False,1411,0,28,28
8.15,1,1.25,1.15,True,486,0,5,5
45.1,1,1.5,1.5,False,1411,0,71,71
45.1,1,1.5,1.5,False,1411,0,47,47
45.1,1,1.5,1.5,False,1411,0,71,71
45.1,1,1.5,1.5,False,1411,0,47,47
24.18,1,1.4,1.2,True,484,0,7,7
3.9,1,1.15,1.15,True,484,0,13,13
2.5,1,1.15,1.1,True,475,0,8,8
49.5,1,1.55,1.25,False,1411,0,40,40
39.4,1,1.5,1.2,True,668,0,10,10
25.16,1,1.4,1.25,False,1411,0,35,35
12.9,1,1.3,1.15,True,484,0,9,9
11.2,1,1.3,1.1,True,487,0,1,1
11.2,1,1.3,1.1,True,487,0,2,2
11.2,1,1.3,1.1,True,487,0,1,1
11.2,1,1.3,1.1,True,487,0,2,2
43.19,1,1.5,1.4,False,1411,0,41,41
29.19,1,1.45,1.1,True,377,0,2,2
37.14,1,1.5,1.1,True,377,0,1,1
27.11,1,1.4,1.35,False,1411,0,47,47
48.18,1,1.55,1.2,True,484,0,7,7
3.11,1,1.15,1.15,True,484,0,4,4
6.14,1,1.2,1.2,True,486,0,4,4
36.7,1,1.45,1.45,False,1411,0,38,38
11.17,1,1.3,1.1,True,377,0,7,7
50.9,1,1.55,1.3,False,1411,0,30,30
25.11,1,1.4,1.25,False,1411,0,27,27
49.4,1,1.55,1.25,True,668,0,24,24
3.8,1,1.15,1.15,True,377,0,8,8
2.2,1,1.15,1.1,True,484,0,6,6
2.2,1,1.15,1.1,True,484,0,11,11
2.2,1,1.15,1.1,True,484,0,6,6
2.2,1,1.15,1.1,True,484,0,11,11
8.14,1,1.25,1.15,True,486,0,4,4
15.2,1,1.3,1.3,False,1411,0,32,32
15.2,1,1.3,1.3,False,1411,0,34,34
15.2,1,1.3,1.3,False,1411,0,32,32
15.2,1,1.3,1.3,False,1411,0,34,34
49.7,1,1.55,1.25,True,668,0,13,13
31.5,1,1.45,1.2,True,484,0,7,7
18.15,1,1.35,1.2,True,484,0,6,6
9.15,1,1.25,1.2,True,484,0,9,9
8.17,1,1.25,1.15,True,377,0,3,3
20.13,1,1.35,1.3,False,1411,0,45,45
42.4,1,1.5,1.35,False,1411,0,35,35
35.2,1,1.45,1.4,False,1411,0,38,38
35.2,1,1.45,1.4,False,1411,0,59,59
35.2,1,1.45,1.4,False,1411,0,38,38
35.2,1,1.45,1.4,False,1411,0,59,59
6.9,1,1.2,1.2,True,484,0,4,4
4.6,1,1.2,1.1,True,484,0,7,7
36.4,1,1.45,1.45,False,1411,0,38,38
8.2,1,1.25,1.15,True,486,0,6,6
8.2,1,1.25,1.15,True,377,0,3,3
8.2,1,1.25,1.15,True,486,0,6,6
8.2,1,1.25,1.15,True,377,0,3,3
19.8,1,1.35,1.25,False,1411,0,46,46
5.18,1,1.2,1.15,True,377,0,4,4
3.12,1,1.15,1.15,True,668,0,17,17
32.19,1,1.45,1.25,False,1411,0,36,36
8.16,1,1.25,1.15,True,486,0,2,2
9.12,1,1.25,1.2,True,668,0,23,23
49.6,1,1.55,1.25,False,1411,0,32,32
31.2,1,1.45,1.2,True,484,0,13,13
31.2,1,1.45,1.2,True,484,0,3,3
31.2,1,1.45,1.2,True,484,0,13,13
31.2,1,1.45,1.2,True,484,0,3,3
18.12,1,1.35,1.2,True,484,0,13,13
44.8,1,1.5,1.45,False,1411,0,22,22
3.13,1,1.15,1.15,True,484,0,13,13
32.18,1,1.45,1.25,False,1411,0,30,30
19.9,1,1.35,1.25,False,1411,0,41,41
36.5,1,1.45,1.45,False,1411,0,46,46
33.7,1,1.45,1.3,False,1411,0,44,44
38.7,1,1.5,1.15,True,484,0,2,2
23.18,1,1.4,1.15,True,486,0,5,5
20.14,1,1.35,1.3,False,1411,0,52,52
42.3,1,1.5,1.35,False,1411,0,30,30
31.16,1,1.45,1.2,True,484,0,13,13
17.4,1,1.35,1.15,True,377,0,2,2
41.7,1,1.5,1.3,False,1411,0,38,38
48.15,1,1.55,1.2,True,484,0,8,8
10.18,1,1.25,1.25,True,668,0,18,18
34.14,1,1.45,1.35,False,1411,0,36,36
29.14,1,1.45,1.1,True,487,0,2,2
28.14,1,1.4,1.4,False,1411,0,38,38
53.12,1,1.55,1.45,False,1411,0,42,42
12.3,1,1.3,1.15,True,667,0,12,12
50.4,1,1.55,1.3,False,1411,0,30,30
24.7,1,1.4,1.2,True,484,0,11,11
13.7,1,1.3,1.2,True,484,0,8,8
11.8,1,1.3,1.1,True,484,0,4,4
34.15,1,1.45,1.35,False,1411,0,51,51
29.13,1,1.45,1.1,True,487,0,4,4
13.16,1,1.3,1.2,True,486,0,7,7
10.19,1,1.25,1.25,False,1411,0,50,50
48.12,1,1.55,1.2,True,484,0,3,3
26.16,1,1.4,1.3,False,1411,0,39,39
31.11,1,1.45,1.2,True,486,0,14,14
28.5,1,1.4,1.4,False,1411,0,37,37
17.5,1,1.35,1.15,True,484,0,10,10
25.5,1,1.4,1.25,False,1411,0,30,30
50.3,1,1.55,1.3,False,1411,0,31,31
12.4,1,1.3,1.15,True,377,0,5,5
52.2,1,1.55,1.4,False,1411,0,44,44
52.2,1,1.55,1.4,False,1411,0,46,46
52.2,1,1.55,1.4,False,1411,0,44,44
52.2,1,1.55,1.4,False,1411,0,46,46
43.4,1,1.5,1.4,False,1411,0,48,48
2.8,1,1.15,1.1,True,377,0,2,2
26.7,1,1.4,1.3,False,1411,0,29,29
53.13,1,1.55,1.45,False,1411,0,52,52
4.15,1,1.2,1.1,True,486,0,7,7
41.14,1,1.5,1.3,False,1411,0,37,37
6.3,1,1.2,1.2,True,668,0,10,10
29.6,1,1.45,1.1,True,486,0,4,4
47.9,1,1.55,1.15,True,377,0,2,2
52.1,1,1.55,1.4,False,1411,0,36,36
52.1,1,1.55,1.4,False,1411,0,36,36
52.1,1,1.55,1.4,False,1411,0,36,36
52.1,1,1.55,1.4,False,1411,0,36,36
1.4,1,1.1,1.1,True,377,0,1,1
22.11,1,1.4,1.1,True,377,0,2,2
39.1,1,1.5,1.2,True,484,0,11,11
39.1,1,1.5,1.2,True,668,0,19,19
