run_id,path_id,fee_param,xsol_param,depeg_event,run_duration,sol_pool_activations,xsol_pool_activations,total_pool_activations
3.3,1,1.2,1.2,False,1000,0,41,41
59.2,3,1.6,1.2,False,1000,0,1,1
49.2,3,1.4,1.1,True,670,0,3,3
19.1,1,1.6,1.4,False,1000,0,66,66
77.2,4,1.5,1.4,False,1000,0,18,18
88.2,5,1.3,1.1,False,1000,0,0,0
29.5,2,1.4,1.2,False,1000,0,27,27
97.4,5,1.5,1.3,False,1000,0,7,7
70.2,4,1.4,1.1,False,1000,0,0,0
81.3,4,1.6,1.3,False,1000,0,5,5
60.3,3,1.6,1.3,False,1000,0,6,6
31.3,2,1.4,1.4,False,1000,0,45,45
105.1,5,1.6,1.6,False,1000,0,14,14
37.4,2,1.6,1.1,True,976,0,3,3
17.3,1,1.6,1.2,False,1000,0,59,59
33.3,2,1.5,1.2,False,1000,0,23,23
55.4,3,1.5,1.3,False,1000,0,4,4
103.1,5,1.6,1.4,False,1000,0,20,20
53.4,3,1.5,1.1,True,98,0,2,2
96.4,5,1.5,1.2,False,1000,0,7,7
75.1,4,1.5,1.2,False,1000,0,0,0
80.3,4,1.6,1.2,False,1000,0,0,0
94.4,5,1.4,1.4,False,1000,0,22,22
18.2,1,1.6,1.3,False,1000,0,55,55
76.1,4,1.5,1.3,False,1000,0,5,5
46.3,3,1.3,1.1,False,1000,0,3,3
26.4,2,1.3,1.2,False,1000,0,23,23
21.3,1,1.6,1.6,False,1000,0,68,68
69.4,4,1.3,1.3,False,1000,0,4,4
72.1,4,1.4,1.3,False,1000,0,3,3
8.2,1,1.4,1.2,False,1000,0,41,41
71.1,4,1.4,1.2,False,1000,0,10,10
89.1,5,1.3,1.2,False,1000,0,8,8
92.4,5,1.4,1.2,False,1000,0,14,14
5.3,1,1.3,1.2,False,1000,0,48,48
6.3,1,1.3,1.3,False,1000,0,65,65
43.4,3,1.1,1.1,False,1000,0,2,2
58.1,3,1.6,1.1,False,1000,0,0,0
100.1,5,1.6,1.1,False,1000,0,0,0
51.4,3,1.4,1.3,False,1000,0,1,1
36.3,2,1.5,1.5,False,1000,0,52,52
35.3,2,1.5,1.4,False,1000,0,40,40
90.4,5,1.3,1.3,False,1000,0,8,8
87.3,5,1.2,1.2,False,1000,0,6,6
45.3,3,1.2,1.2,False,1000,0,0,0
73.2,4,1.4,1.4,False,1000,0,18,18
63.3,3,1.6,1.6,False,1000,0,27,27
68.4,4,1.3,1.2,False,1000,0,1,1
9.2,1,1.4,1.3,False,1000,0,68,68
93.4,5,1.4,1.3,False,1000,0,20,20
74.2,4,1.5,1.1,False,1000,0,0,0
79.4,4,1.6,1.1,False,1000,0,0,0
42.3,2,1.6,1.6,False,1000,0,28,28
50.4,3,1.4,1.2,False,1000,0,9,9
104.2,5,1.6,1.5,False,1000,0,14,14
48.1,3,1.3,1.3,False,1000,0,1,1
14.4,1,1.5,1.4,False,1000,0,56,56
