"Date","Price","Open","High","Low","Vol.","Change %"
"08/28/2022","31.639","31.786","31.639","31.639","698.08M","-0.46%"
"08/29/2022","30.631","31.639","30.631","30.631","505.61M","-3.19%"
"08/30/2022","32.468","30.631","32.468","32.468","829.39M","6.0%"
"08/31/2022","31.46","32.468","31.46","31.46","846.3M","-3.1%"
"09/01/2022","31.454","31.46","31.454","31.454","710.5M","-0.02%"
"09/02/2022","31.628","31.454","31.628","31.628","654.72M","0.55%"
"09/03/2022","31.196","31.628","31.196","31.196","627.14M","-1.36%"
"09/04/2022","31.076","31.196","31.076","31.076","287.51M","-0.39%"
"09/05/2022","32.145","31.076","32.145","32.145","370.56M","3.44%"
"09/06/2022","32.216","32.145","32.216","32.216","511.69M","0.22%"
"09/07/2022","30.933","32.216","30.933","30.933","1209.0M","-3.98%"
"09/08/2022","32.752","30.933","32.752","32.752","796.02M","5.88%"
"09/09/2022","33.607","32.752","33.607","33.607","927.25M","2.61%"
"09/10/2022","34.707","33.607","34.707","34.707","1098.7M","3.28%"
"09/11/2022","35.151","34.707","35.151","35.151","675.18M","1.28%"
"09/12/2022","34.905","35.151","34.905","34.905","712.29M","-0.7%"
"09/13/2022","37.345","34.905","37.345","37.345","1608.88M","6.99%"
"09/14/2022","33.06","37.345","33.06","33.06","1685.41M","-11.47%"
"09/15/2022","34.071","33.06","34.071","34.071","938.92M","3.06%"
"09/16/2022","33.064","34.071","33.064","33.064","1035.64M","-2.95%"
"09/17/2022","32.182","33.064","32.182","32.182","728.06M","-2.67%"
"09/18/2022","33.762","32.182","33.762","33.762","477.78M","4.91%"
"09/19/2022","31.089","33.762","31.089","31.089","652.42M","-7.92%"
"09/20/2022","32.713","31.089","32.713","32.713","963.74M","5.23%"
"09/21/2022","31.405","32.713","31.405","31.405","798.99M","-4.0%"
"09/22/2022","30.825","31.405","30.825","30.825","1180.93M","-1.85%"
"09/23/2022","32.468","30.825","32.468","32.468","833.38M","5.33%"
"09/24/2022","33.712","32.468","33.712","33.712","969.72M","3.83%"
"09/25/2022","33.504","33.712","33.504","33.504","821.68M","-0.62%"
"09/26/2022","32.328","33.504","32.328","32.328","576.31M","-3.51%"
"09/27/2022","33.852","32.328","33.852","33.852","908.93M","4.72%"
"09/28/2022","32.766","33.852","32.766","32.766","1221.28M","-3.21%"
"09/29/2022","33.303","32.766","33.303","33.303","958.56M","1.64%"
"09/30/2022","33.936","33.303","33.936","33.936","949.32M","1.9%"
"10/01/2022","33.25","33.936","33.25","33.25","1166.72M","-2.02%"
"10/02/2022","32.456","33.25","32.456","32.456","475.81M","-2.39%"
"10/03/2022","32.097","32.456","32.097","32.097","518.12M","-1.11%"
"10/04/2022","32.984","32.097","32.984","32.984","621.97M","2.76%"
"10/05/2022","34.13","32.984","34.13","34.13","692.96M","3.47%"
"10/06/2022","34.093","34.13","34.093","34.093","641.19M","-0.11%"
"10/07/2022","33.338","34.093","33.338","33.338","670.56M","-2.22%"
"10/08/2022","32.918","33.338","32.918","32.918","672.97M","-1.26%"
"10/09/2022","32.6","32.918","32.6","32.6","351.71M","-0.97%"
"10/10/2022","32.905","32.6","32.905","32.905","394.69M","0.94%"
"10/11/2022","31.97","32.905","31.97","31.97","630.99M","-2.84%"
"10/12/2022","30.788","31.97","30.788","30.788","720.05M","-3.7%"
"10/13/2022","31.141","30.788","31.141","31.141","481.85M","1.15%"
"10/14/2022","30.583","31.141","30.583","30.583","1268.0M","-1.79%"
"10/15/2022","30.036","30.583","30.036","30.036","800.16M","-1.79%"
"10/16/2022","29.577","30.036","29.577","29.577","545.16M","-1.53%"
"10/17/2022","30.167","29.577","30.167","30.167","598.45M","2.0%"
"10/18/2022","31.245","30.167","31.245","31.245","643.75M","3.57%"
"10/19/2022","30.201","31.245","30.201","30.201","685.75M","-3.34%"
"10/20/2022","28.897","30.201","28.897","28.897","721.54M","-4.32%"
"10/21/2022","28.066","28.897","28.066","28.066","853.07M","-2.87%"
"10/22/2022","28.106","28.066","28.106","28.106","1004.07M","0.14%"
"10/23/2022","28.023","28.106","28.023","28.023","488.91M","-0.29%"
"10/24/2022","29.237","28.023","29.237","29.237","670.01M","4.33%"
"10/25/2022","28.27","29.237","28.27","28.27","739.68M","-3.31%"
"10/26/2022","30.941","28.27","30.941","30.941","1346.26M","9.45%"
"10/27/2022","31.283","30.941","31.283","31.283","1240.75M","1.1%"
"10/28/2022","30.645","31.283","30.645","30.645","1179.54M","-2.04%"
"10/29/2022","32.114","30.645","32.114","32.114","1011.21M","4.79%"
"10/30/2022","32.839","32.114","32.839","32.839","1095.98M","2.26%"
"10/31/2022","32.907","32.839","32.907","32.907","704.17M","0.21%"
"11/01/2022","32.601","32.907","32.601","32.601","1142.7M","-0.93%"
"11/02/2022","32.241","32.601","32.241","32.241","1299.52M","-1.11%"
"11/03/2022","30.788","32.241","30.788","30.788","1780.7M","-4.51%"
"11/04/2022","30.827","30.788","30.827","30.827","1419.47M","0.12%"
"11/05/2022","33.788","30.827","33.788","33.788","2002.86M","9.61%"
"11/06/2022","36.718","33.788","36.718","36.718","3501.84M","8.67%"
"11/07/2022","32.773","36.718","32.773","32.773","2458.44M","-10.74%"
"11/08/2022","29.549","32.773","29.549","29.549","3400.11M","-9.84%"
"11/09/2022","24.228","29.549","24.228","24.228","5868.07M","-18.01%"
"11/10/2022","14.004","24.228","14.004","14.004","4375.83M","-42.2%"
"11/11/2022","17.836","14.004","17.836","17.836","4179.36M","27.36%"
"11/12/2022","16.625","17.836","16.625","16.625","2174.8M","-6.79%"
"11/13/2022","14.705","16.625","14.705","14.705","770.04M","-11.55%"
"11/14/2022","13.253","14.705","13.253","13.253","782.85M","-9.88%"
"11/15/2022","14.097","13.253","14.097","14.097","1300.49M","6.37%"
"11/16/2022","14.355","14.097","14.355","14.355","811.38M","1.83%"
"11/17/2022","14.356","14.355","14.356","14.356","478.09M","0.0%"
"11/18/2022","13.665","14.356","13.665","13.665","651.56M","-4.81%"
"11/19/2022","13.298","13.665","13.298","13.298","343.05M","-2.69%"
"11/20/2022","12.885","13.298","12.885","12.885","300.94M","-3.11%"
"11/21/2022","12.345","12.885","12.345","12.345","487.32M","-4.19%"
"11/22/2022","11.918","12.345","11.918","11.918","484.8M","-3.46%"
"11/23/2022","12.435","11.918","12.435","12.435","523.44M","4.34%"
"11/24/2022","14.415","12.435","14.415","14.415","846.04M","15.92%"
"11/25/2022","14.593","14.415","14.593","14.593","618.85M","1.23%"
"11/26/2022","14.076","14.593","14.076","14.076","360.31M","-3.54%"
"11/27/2022","14.165","14.076","14.165","14.165","375.21M","0.64%"
"11/28/2022","14.106","14.165","14.106","14.106","255.76M","-0.41%"
"11/29/2022","13.343","14.106","13.343","13.343","503.95M","-5.41%"
"11/30/2022","13.374","13.343","13.374","13.374","298.91M","0.23%"
"12/01/2022","14.147","13.374","14.147","14.147","302.42M","5.78%"
"12/02/2022","13.509","14.147","13.509","13.509","268.68M","-4.51%"
"12/03/2022","13.765","13.509","13.765","13.765","285.03M","1.9%"
"12/04/2022","13.334","13.765","13.334","13.334","197.68M","-3.13%"
"12/05/2022","13.777","13.334","13.777","13.777","173.96M","3.32%"
"12/06/2022","13.874","13.777","13.874","13.874","383.5M","0.7%"
"12/07/2022","14.298","13.874","14.298","14.298","333.4M","3.06%"
"12/08/2022","13.537","14.298","13.537","13.537","272.84M","-5.32%"
"12/09/2022","13.693","13.537","13.693","13.693","236.38M","1.15%"
"12/10/2022","13.613","13.693","13.613","13.613","257.53M","-0.59%"
"12/11/2022","13.586","13.613","13.586","13.586","123.96M","-0.2%"
"12/12/2022","13.439","13.586","13.439","13.439","132.23M","-1.08%"
"12/13/2022","13.324","13.439","13.324","13.324","250.95M","-0.86%"
"12/14/2022","13.828","13.324","13.828","13.828","388.86M","3.78%"
"12/15/2022","14.149","13.828","14.149","14.149","531.06M","2.32%"
"12/16/2022","13.994","14.149","13.994","13.994","320.49M","-1.09%"
"12/17/2022","12.272","13.994","12.272","12.272","416.04M","-12.31%"
"12/18/2022","12.526","12.272","12.526","12.526","277.08M","2.07%"
"12/19/2022","12.417","12.526","12.417","12.417","127.95M","-0.87%"
"12/20/2022","11.936","12.417","11.936","11.936","240.14M","-3.87%"
"12/21/2022","12.281","11.936","12.281","12.281","203.09M","2.89%"
"12/22/2022","12.119","12.281","12.119","12.119","189.5M","-1.31%"
"12/23/2022","11.795","12.119","11.795","11.795","206.0M","-2.68%"
"12/24/2022","11.801","11.795","11.801","11.801","177.44M","0.05%"
"12/25/2022","11.47","11.801","11.47","11.47","226.48M","-2.8%"
"12/26/2022","11.401","11.47","11.401","11.401","112.71M","-0.6%"
"12/27/2022","11.301","11.401","11.301","11.301","151.02M","-0.87%"
"12/28/2022","11.08","11.301","11.08","11.08","260.62M","-1.96%"
"12/29/2022","9.771","11.08","9.771","9.771","524.69M","-11.82%"
"12/30/2022","9.598","9.771","9.598","9.598","838.32M","-1.77%"
"12/31/2022","9.888","9.598","9.888","9.888","996.39M","3.03%"
"01/01/2023","9.961","9.888","9.961","9.961","328.9M","0.74%"
"01/02/2023","9.974","9.961","9.974","9.974","220.37M","0.13%"
"01/03/2023","11.266","9.974","11.266","11.266","612.35M","12.96%"
"01/04/2023","13.355","11.266","13.355","13.355","1332.76M","18.54%"
"01/05/2023","13.456","13.355","13.456","13.456","1282.11M","0.76%"
"01/06/2023","13.438","13.456","13.438","13.438","597.27M","-0.13%"
"01/07/2023","13.524","13.438","13.524","13.524","488.3M","0.64%"
"01/08/2023","13.089","13.524","13.089","13.089","206.85M","-3.22%"
"01/09/2023","14.366","13.089","14.366","14.366","641.92M","9.76%"
"01/10/2023","16.302","14.366","16.302","16.302","1889.44M","13.48%"
"01/11/2023","16.203","16.302","16.203","16.203","854.04M","-0.61%"
"01/12/2023","16.463","16.203","16.463","16.463","749.74M","1.61%"
"01/13/2023","16.616","16.463","16.616","16.616","948.12M","0.93%"
"01/14/2023","18.28","16.616","18.28","18.28","1221.08M","10.01%"
