day,pSOL,nSOL,value of SOL in $,daily mint of fSOL,daily burn of fSOL,daily mint of xSOL,daily burn of xSOL,pX,nX,Marketcap xSOL,pF,nF,Marketcap fSOL,Total mcap,fSOL adjustment,Collaterization ratio
60,39.461,41215.06114482825,1626387.5278360676,62738,0,0,46658,2.263945017817578,390966.0,885125.5278360673,1,741262.0,741262.0,1626387.5278360671,0.0,2.4601645254661584
61,37.435,37164.31376927356,1391246.0859527558,0,45076,0,51973,2.05036707528697,338993.0,695060.0859527559,1,696186.0,696186.0,1391246.085952756,0.0,2.081431145744211
62,39.559,38135.88189775887,1508617.351993443,20205,0,7984,0,2.283224398140058,346977.0,792226.3519934429,1,716391.0,716391.0,1508617.351993443,0.0,2.1117676718559304
63,42.209,38514.7953402219,1625670.9965154263,18895,0,0,1127,2.574483147362806,345850.0,890384.9965154264,1,735286.0,735286.0,1625670.9965154263,0.0,2.2469258254535642
64,38.272,39042.19672204324,1494222.952946039,21885,0,0,796,2.1360481343385063,345054.0,737051.9529460389,1,757171.0,757171.0,1494222.952946039,0.0,2.00471414831912
65,41.34,38898.56461767867,1608066.6612948363,0,10184,1710,0,2.4831864360049956,346764.0,861079.6612948363,1,746987.0,746987.0,1608066.6612948363,0.0,2.1316247089353233
66,42.041,38663.372912124316,1625446.8605986182,0,41311,12266,0,2.561821743583039,359030.0,919770.8605986184,1,705676.0,705676.0,1625446.8605986184,0.0,2.189240984236444
67,41.124,38973.53330254083,1602747.5835336894,0,9920,9206,0,2.463071463772388,368236.0,906991.583533689,1,695756.0,695756.0,1602747.583533689,0.0,2.253148112785755
68,36.012,39530.62911789744,1423577.0157937228,0,16243,18889,0,1.922025226461021,387125.0,744064.0157937227,1,679513.0,679513.0,1423577.0157937226,0.0,2.0172515670595734
69,36.402,40918.55220423314,1489517.1373384949,0,3000,27282,0,1.9618494314490225,414407.0,813004.137338495,1,676513.0,676513.0,1489517.1373384949,0.0,2.1176842255405015
70,38.806,43312.61873074595,1680789.482465327,14326,0,35730,0,2.199220420594901,450137.0,989950.482465327,1,690839.0,690839.0,1680789.482465327,0.0,2.347161601975825
71,39.703,44585.31426571844,1770170.7322918195,34202,0,7144,0,2.28553063060092,457281.0,1045129.7322918193,1,725041.0,725041.0,1770170.7322918193,0.0,2.489206459778337
72,39.592,43547.727079762786,1724141.6105419681,7014,0,0,21143,2.2747080294355646,436138.0,992086.6105419683,1,732055.0,732055.0,1724141.6105419681,0.0,2.4346509540954573
73,39.334,44183.31259589675,1737906.417647003,12442,0,5584,0,2.248947115260284,441722.0,993409.4176470031,1,744497.0,744497.0,1737906.4176470032,0.0,2.3398601156407506
74,39.4,44441.95054547899,1751012.8514918722,0,3970,6278,0,2.2555487756515,448000.0,1010485.851491872,1,740527.0,740527.0,1751012.851491872,0.0,2.3382532317502043
75,36.65,44304.57707308848,1623762.749728693,0,47180,21256,0,1.982746623865636,469256.0,930415.7497286928,1,693347.0,693347.0,1623762.7497286927,0.0,2.1995112770929417
76,35.283,44812.407632204246,1581116.1784870625,15584,0,1259,0,1.8536819835436968,470515.0,872185.1784870626,1,708931.0,708931.0,1581116.1784870625,0.0,2.254568625622929
77,35.32,46061.56961003724,1626894.6386265152,0,1357,24487,0,1.857205907504445,495002.0,919320.6386265153,1,707574.0,707574.0,1626894.6386265154,0.0,2.232620999179686
78,26.601,46091.49774209656,1226079.9314375105,12170,0,0,10875,1.0458741847439008,484127.0,506335.9314375105,1,719744.0,719744.0,1226079.9314375105,0.0,1.7316687911039699
79,26.685,48870.58167913353,1304111.4721076782,0,7003,77014,0,1.0538714371391116,561141.0,591370.4721076782,1,712741.0,712741.0,1304111.4721076782,0.0,1.7088737346165397
80,30.855,51888.550462629326,1601021.224524428,47869,0,31933,0,1.4170427712636664,593074.0,840411.2245244277,1,760610.0,760610.0,1601021.2245244277,0.0,2.115637795089191
81,31.245,54764.401459305474,1711113.7235959996,11808,0,53783,0,1.4511642041378534,646857.0,938695.7235959994,1,772418.0,772418.0,1711113.7235959994,0.0,2.131523065966597
82,28.797,49163.34115800145,1415756.735326968,0,67728,0,75219,1.2439108934797334,571638.0,711066.7353269678,1,704690.0,704690.0,1415756.7353269677,0.0,2.0417060048103743
83,29.554,50934.987759946795,1505332.6282574674,0,3558,42717,0,1.3090161685954655,614355.0,804200.6282574672,1,701132.0,701132.0,1505332.6282574672,0.0,2.061861789699832
84,31.821,52518.11254414033,1671178.8592670895,43272,0,4746,0,1.4969687648171939,619101.0,926774.8592670895,1,744404.0,744404.0,1671178.8592670895,0.0,2.3116934407633187
85,32.99,51865.567109551834,1711045.0589441152,0,27339,3641,0,1.596134609427524,622742.0,993980.0589441151,1,717065.0,717065.0,1711045.058944115,0.0,2.3274626853579368
86,33.885,49661.57069769211,1682782.323091297,0,24497,0,30039,1.6706754025056343,592703.0,990214.323091297,1,692568.0,692568.0,1682782.323091297,0.0,2.450914131225431
87,35.536,49509.94055931222,1759385.247715719,68043,0,0,40592,1.8090098688773073,552111.0,998774.247715719,1,760611.0,760611.0,1759385.247715719,0.0,2.548159280118612
88,33.375,47946.44001487143,1600212.4354963338,0,137435,52781,0,1.615224594632321,604892.0,977036.4354963339,1,623176.0,623176.0,1600212.435496334,0.0,2.172456441159864
89,34.0,47550.602192347294,1616720.474539808,37763,0,0,30768,1.6647648844845502,574124.0,955781.4745398079,1,660939.0,660939.0,1616720.474539808,0.0,2.6159206396036248
